toolchain	toolchainversion	moduleversionsuffix	count
CrayCCE	19.06		2
CrayGNU	19.06		2
CrayIntel	19.06		1
FCC	4.5.0		19
FCC	4.5.0	-fujitsu	1
ffmpi	4.5.0		1
foss	2016a		520
foss	2016a	-32bitIDX	1
foss	2016a	-bare	2
foss	2016a	-CUDA-7.5.18-Python-2.7.11	1
foss	2016a	-freetype-2.6.3	2
foss	2016a	-gettext-0.19.7	1
foss	2016a	-GLib-2.48.0	2
foss	2016a	-hybrid	1
foss	2016a	-hybrid-avx2	2
foss	2016a	-Java-1.7.0_79-Python-2.7.11	1
foss	2016a	-Java-1.7.0_80-Python-2.7.11	1
foss	2016a	-Java-1.8.0_92	2
foss	2016a	-Mesa-11.2.1	4
foss	2016a	-METIS-5.1.0	3
foss	2016a	-mpiio	1
foss	2016a	-mt	1
foss	2016a	-NASM-2.12.01	1
foss	2016a	-nodejs-4.4.7	1
foss	2016a	-no-X11	1
foss	2016a	-omp-mpi	1
foss	2016a	-ParMETIS-4.0.3	1
foss	2016a	-Perl-5.22.1	10
foss	2016a	-Python-2.7.11	85
foss	2016a	-Python-2.7.11-freetype-2.6.3	2
foss	2016a	-Python-2.7.11-HDF5-1.8.16	1
foss	2016a	-Python-2.7.11-HDF5-1.8.16-serial	1
foss	2016a	-Python-2.7.11-zmq4	2
foss	2016a	-Python-3.5.1	30
foss	2016a	-Python-3.5.1-HDF5-1.8.16	1
foss	2016a	-Python-3.5.1-zmq4	1
foss	2016a	-R-3.2.3	1
foss	2016a	-serial	2
foss	2016a	-tools	1
foss	2016b		434
foss	2016b	-bare	1
foss	2016b	-BioPerl-1.7.0	1
foss	2016b	-CUDA-8.0.61	1
foss	2016b	-develop	1
foss	2016b	-GPU-enabled	1
foss	2016b	-GPU-Python-3.5.2	1
foss	2016b	-hybrid	3
foss	2016b	-Java-1.8.0_121	1
foss	2016b	-METIS-5.1.0	1
foss	2016b	-mpi	3
foss	2016b	-mt	2
foss	2016b	-ParMETIS-4.0.3	1
foss	2016b	-Perl-5.24.0	13
foss	2016b	-psmp	1
foss	2016b	-Python-2.7.12	85
foss	2016b	-Python-2.7.12-HDF5-1.8.17	1
foss	2016b	-Python-2.7.12-HDF5-1.8.18	1
foss	2016b	-Python-2.7.12-HDF5-1.10.0-patch1	1
foss	2016b	-Python-2.7.12-R-3.3.1	1
foss	2016b	-Python-2.7.12-R-3.3.3	1
foss	2016b	-Python-2.7.12-zmq4	1
foss	2016b	-Python-3.5.2	22
foss	2016b	-Python-3.5.2-HDF5-1.8.18	1
foss	2016b	-Python-3.5.2-HDF5-1.10.0-patch1	1
foss	2016b	-Python-3.5.2-zmq4	1
foss	2016b	-R-3.3.3	1
foss	2016b	-sockets	1
foss	2016b	-with-extensions	1
foss	2016b	-X11-20160819	2
foss	2017a		111
foss	2017a	-HDF5-1.8.19	1
foss	2017a	-HDF5-1.10.1	1
foss	2017a	-METIS-5.1.0	1
foss	2017a	-mpi	1
foss	2017a	-nodejs-8.9.4	1
foss	2017a	-ParMETIS-4.0.3	1
foss	2017a	-PLUMED	1
foss	2017a	-Python-2.7.13	25
foss	2017a	-Python-2.7.13-HDF5-1.8.19	1
foss	2017a	-Python-2.7.13-HDF5-1.10.1	1
foss	2017a	-Python-2.7.13-zmq4	1
foss	2017a	-Python-3.6.1	3
foss	2017a	-Python-3.6.1-HDF5-1.8.19	1
foss	2017a	-Python-3.6.1-HDF5-1.10.1	1
foss	2017a	-Python-3.6.4	2
foss	2017a	-tools	1
foss	2017b		281
foss	2017b	-5build1	1
foss	2017b	-64bitint	1
foss	2017b	-AmberTools-17-patchlevel-10-15-Python-2.7.14	1
foss	2017b	-CUDA-9.0.176-Python-2.7.14	1
foss	2017b	-downloaded-deps	2
foss	2017b	-HDF5-1.8.19	2
foss	2017b	-hybrid-avx	1
foss	2017b	-hybrid-avx2	1
foss	2017b	-hybrid-sse3	1
foss	2017b	-metis	1
foss	2017b	-METIS-5.1.0	2
foss	2017b	-MPFR-3.1.6	1
foss	2017b	-mpi	2
foss	2017b	-ParMETIS-4.0.3	2
foss	2017b	-Perl-5.26.0	9
foss	2017b	-Perl-5.26.0-Python-2.7.14	1
foss	2017b	-Perl-5.26.0-Python-3.6.3	1
foss	2017b	-Python-2.7.14	61
foss	2017b	-Python-2.7.14-R-3.4.3	1
foss	2017b	-Python-3.6.2	9
foss	2017b	-Python-3.6.2-HDF5-1.8.19	1
foss	2017b	-Python-3.6.3	56
foss	2017b	-R-3.4.3	3
foss	2017b	-R-3.4.3-Python-2.7.14	1
foss	2017b	-X11-20171023	1
foss	2018a		285
foss	2018a	-5build1	1
foss	2018a	-bare	1
foss	2018a	-CUDA-9.1.85	2
foss	2018a	-downloaded-deps	1
foss	2018a	-Java-1.8.0_162	1
foss	2018a	-METIS-5.1.0	1
foss	2018a	-mpi	1
foss	2018a	-mt-kmer_191	1
foss	2018a	-Perl-5.26.1	2
foss	2018a	-Python-2.7.14	45
foss	2018a	-Python-2.7.14-Boost-1.63.0	1
foss	2018a	-Python-2.7.14-zmq4	1
foss	2018a	-Python-3.6.4	72
foss	2018a	-Python-3.6.4-contrib	1
foss	2018a	-Python-3.6.4-CUDA-9.1.85	4
foss	2018a	-Python-3.6.4-Perl-5.26.1	1
foss	2018a	-Python-3.6.4-zmq4	1
foss	2018a	-R-3.4.4	1
foss	2018a	-Ruby-2.5.1	3
foss	2018a	-X11-20180131	1
foss	2018b		611
foss	2018b	-AmberTools-17-patchlevel-10-15	1
foss	2018b	-AmberTools-18-patchlevel-10-8	1
foss	2018b	-ASE-3.18.0-Python-3.6.6	1
foss	2018b	-bare	1
foss	2018b	-CUDA-9.2.88	2
foss	2018b	-dmpar	2
foss	2018b	-downloaded-deps	1
foss	2018b	-Java-1.8	2
foss	2018b	-Lua-5.2.4	1
foss	2018b	-metis	1
foss	2018b	-METIS-5.1.0	1
foss	2018b	-mpi	2
foss	2018b	-mt-kmer_191	1
foss	2018b	-Perl-5.28.0	21
foss	2018b	-Perl-5.28.0-Python-2.7.15	1
foss	2018b	-PLUMED	1
foss	2018b	-PLUMED-2.5.0	1
foss	2018b	-Python-2.7.15	106
foss	2018b	-Python-2.7.15-CUDA-9.2.88	1
foss	2018b	-Python-2.7.15-mpi	1
foss	2018b	-Python-3.6.6	163
foss	2018b	-Python-3.6.6-CUDA-9.2.88	1
foss	2018b	-R-3.5.1	26
foss	2018b	-R-3.5.1-Python-2.7.15	1
foss	2018b	-Ruby-2.6.1	1
foss	2018b	-with-extensions	1
foss	2019a		202
foss	2019a	-5build1	1
foss	2019a	-HCP-Python-2.7.15	2
foss	2019a	-HCP-Python-3.7.2	1
foss	2019a	-metis	1
foss	2019a	-metis-seq	1
foss	2019a	-METIS-5.1.0	1
foss	2019a	-Octave-Python-3.7.2	1
foss	2019a	-Perl-5.28.1	3
foss	2019a	-Python-2.7.15	32
foss	2019a	-Python-3.7.2	68
foss	2019a	-Python-3.7.2-PyTorch-1.2.0	1
foss	2019a	-Python-3.7.2-R-3.6.0	4
foss	2019a	-R-3.6.0	16
foss	2019b		310
foss	2019b	-5build1	1
foss	2019b	-20200324	1
foss	2019b	-20200508	1
foss	2019b	-AmberTools-19-patchlevel-12-17-Python-2.7.16	1
foss	2019b	-ASE-3.20.1-Python-3.7.4	1
foss	2019b	-dmpar	1
foss	2019b	-Java-11	1
foss	2019b	-metis	1
foss	2019b	-METIS-5.1.0	1
foss	2019b	-mpi	2
foss	2019b	-Perl-5.30.0	1
foss	2019b	-PEXSI	1
foss	2019b	-PLUMED-2.5.4	1
foss	2019b	-Python-2.7.16	21
foss	2019b	-Python-2.7.16-mpi	2
foss	2019b	-Python-3.7.4	176
foss	2019b	-Python-3.7.4-kokkos	2
foss	2019b	-Python-3.7.4-mpi	1
foss	2019b	-Python-3.7.4-PyTorch-1.4.0	2
foss	2019b	-Python-3.7.4-PyTorch-1.6.0	2
foss	2019b	-Python-3.7.4-R-3.6.2	1
foss	2019b	-R-3.6.2	6
foss	2019b	-R-3.6.2-Python-3.7.4	1
foss	2019b	-serial-Python-3.7.4	1
foss	2020a		247
foss	2020a	-AmberTools-20.15-Python-3.8.2	1
foss	2020a	-dmpar	2
foss	2020a	-Java-11-R-4.0.0	2
foss	2020a	-metis	1
foss	2020a	-METIS-5.1.0	1
foss	2020a	-mpi	1
foss	2020a	-OpenFOAM-8	1
foss	2020a	-Perl-5.30.2	1
foss	2020a	-Python-2.7.18	2
foss	2020a	-Python-3.8.2	147
foss	2020a	-Python-3.8.2-contrib	1
foss	2020a	-Python-3.8.2-kokkos	1
foss	2020a	-Python-3.8.2-mpi	1
foss	2020a	-R-3.6.3-Python-3.8.2	1
foss	2020a	-R-4.0.0	23
foss	2020a	-R-4.0.0-Python-3.8.2	4
foss	2020a	-TensorFlow-2.3.1-Python-3.8.2	1
foss	2020b		346
foss	2020b	-20210316	1
foss	2020b	-AmberTools-21.3	1
foss	2020b	-ASE-3.21.1	3
foss	2020b	-ASE-3.22.0	3
foss	2020b	-contrib	1
foss	2020b	-dmpar	4
foss	2020b	-metis	1
foss	2020b	-METIS-5.1.0	1
foss	2020b	-mpi	2
foss	2020b	-muMerge-1.1.0	1
foss	2020b	-Perl-5.32.0	1
foss	2020b	-PEXSI	1
foss	2020b	-psmp	1
foss	2020b	-PyMC	1
foss	2020b	-Python-2.7.18	16
foss	2020b	-PyTorch-1.7.1	3
foss	2020b	-R-4.0.3	17
foss	2020b	-R-4.0.3-Monocle3	1
foss	2020b	-R-4.0.4	9
foss	2020b	-R-4.0.5	1
foss	2020b	-TensorFlow-2.5.0	1
foss	2021a		397
foss	2021a	-contrib	1
foss	2021a	-CUDA-11.3.1	55
foss	2021a	-CUDA-11.3.1-contrib	1
foss	2021a	-CUDA-11.3.1-DeepMind-patch	1
foss	2021a	-CUDA-11.3.1-PLUMED-2.7.2	1
foss	2021a	-CUDA-11.3.1-PyTorch-1.10.0	2
foss	2021a	-CUDA-11.3.1-PyTorch-1.11.0	1
foss	2021a	-CUDA-11.3.1-PyTorch-1.12.1	1
foss	2021a	-CUDA-11.3.1-TensorFlow-2.5.3	1
foss	2021a	-CUDA-11.3.1-TensorFlow-2.6.0	1
foss	2021a	-DeepMind-patch	1
foss	2021a	-dmpar	2
foss	2021a	-Java-11-R-4.1.0	1
foss	2021a	-kokkos	1
foss	2021a	-kokkos-CUDA-11.3.1	1
foss	2021a	-metis	2
foss	2021a	-METIS-5.1.0	1
foss	2021a	-METIS-5.1.0-CUDA-11.3.1	1
foss	2021a	-mpi	1
foss	2021a	-Perl-5.32.1	1
foss	2021a	-PEXSI	1
foss	2021a	-PLUMED-2.7.2	1
foss	2021a	-PyTorch-1.10.0	2
foss	2021a	-PyTorch-1.10.0-CUDA-11.3.1	2
foss	2021a	-PyTorch-1.11.0-CUDA-11.3.1	2
foss	2021a	-PyTorch-1.12.1-CUDA-11.3.1	1
foss	2021a	-R-4.1.0	20
foss	2021b		339
foss	2021b	-2020-12-12	1
foss	2021b	-AmberTools-22.3	1
foss	2021b	-AmberTools-22.3-CUDA-11.4.1	1
foss	2021b	-contrib	1
foss	2021b	-CUDA-11.4.1	15
foss	2021b	-CUDA-11.4.1-contrib	1
foss	2021b	-CUDA-11.4.1-DeepMind-patch	1
foss	2021b	-CUDA-11.4.1-PLUMED-2.8.0	1
foss	2021b	-CUDA-11.4.1-TensorFlow-2.7.1	1
foss	2021b	-CUDA-11.4.1-TensorFlow-2.8.4	1
foss	2021b	-CUDA-11.5.2	3
foss	2021b	-CUDA-11.5.2-PyTorch-1.12.1	1
foss	2021b	-DeepMind-patch	1
foss	2021b	-fast	1
foss	2021b	-Java-11	1
foss	2021b	-kokkos	1
foss	2021b	-kokkos-CUDA-11.4.1	1
foss	2021b	-metis	1
foss	2021b	-METIS-5.1.0	1
foss	2021b	-mpi	1
foss	2021b	-pangoLEARN-2021-10-18	1
foss	2021b	-pangoLEARN-2021-11-25	1
foss	2021b	-Perl-5.34.0	1
foss	2021b	-PLUMED-2.8.0	1
foss	2021b	-PyMC	1
foss	2021b	-Python-2.7.18	9
foss	2021b	-R-4.1.2	18
foss	2021b	-R-4.2.0	4
foss	2022a		639
foss	2022a	-20200508	1
foss	2022a	-20200508-int64	1
foss	2022a	-20230119	1
foss	2022a	-AmberTools-22.5-CUDA-11.7.0	1
foss	2022a	-ColabFold	1
foss	2022a	-contrib	1
foss	2022a	-CUDA-11.7.0	82
foss	2022a	-CUDA-11.7.0-ColabFold	1
foss	2022a	-CUDA-11.7.0-contrib	1
foss	2022a	-CUDA-11.7.0-PyTorch-1.12.0	1
foss	2022a	-CUDA-11.7.0-PyTorch-1.12.1	1
foss	2022a	-CUDA-11.7.0-PyTorch-1.13.1	1
foss	2022a	-CUDA-11.7.0-TensorFlow-2.9.1	1
foss	2022a	-CUDA-11.7.0-TensorFlow-2.11.0	1
foss	2022a	-CUDA-11.8.0	1
foss	2022a	-dmpar	2
foss	2022a	-fast	1
foss	2022a	-fast-CUDA-11.7.0	1
foss	2022a	-FLOW	1
foss	2022a	-int64	1
foss	2022a	-Java-11-R-4.2.1	1
foss	2022a	-kokkos	1
foss	2022a	-metis	1
foss	2022a	-METIS-5.1.0	1
foss	2022a	-mpi	3
foss	2022a	-PyTorch-1.12.0	6
foss	2022a	-PyTorch-1.12.0-CUDA-11.7.0	4
foss	2022a	-PyTorch-1.13.1-CUDA-11.7.0	1
foss	2022a	-R-4.2.1	50
foss	2022a	-R-4.2.1-Julia-1.9.2	2
foss	2022a	-R-4.2.1-Monocle3	1
foss	2022a	-zoltan	1
foss	2022b		170
foss	2022b	-contrib	1
foss	2022b	-CUDA-11.7.0	2
foss	2022b	-CUDA-12.0.0	4
foss	2022b	-CUDA-12.2.0	1
foss	2022b	-dmpar	1
foss	2022b	-fast	1
foss	2022b	-metis	1
foss	2022b	-METIS-5.1.0	1
foss	2022b	-mpi	1
foss	2022b	-R-4.2.2	19
foss	2023a		219
foss	2023a	-contrib	1
foss	2023a	-CUDA-12.1.1	18
foss	2023a	-CUDA-12.1.1-contrib	1
foss	2023a	-CUDA-12.1.1-PLUMED-2.9.0	1
foss	2023a	-Java-17	1
foss	2023a	-kokkos	1
foss	2023a	-kokkos-CUDA-12.1.1	1
foss	2023a	-metis	1
foss	2023a	-mpi	1
foss	2023a	-mt-kmer_191	1
foss	2023a	-PyTorch-2.1.2	2
foss	2023a	-PyTorch-2.1.2-CUDA-12.1.1	1
foss	2023a	-R-4.3.2	16
foss	2023b		30
foss	2023b	-CUDA-12.4.0	1
foss	2016.04		20
foss	2016.06		1
foss	2016.07		1
foss	2016.09		1
foss	2018.08		1
foss	2022.05		3
foss	2022.10		1
foss	2023.09		1
fosscuda	2017b		47
fosscuda	2017b	-AmberTools-17-patchlevel-10-15-Python-2.7.14	1
fosscuda	2017b	-Python-2.7.14	15
fosscuda	2017b	-Python-3.6.3	14
fosscuda	2018a		13
fosscuda	2018a	-Python-2.7.14	2
fosscuda	2018a	-Python-3.6.4	2
fosscuda	2018b		98
fosscuda	2018b	-AmberTools-17-patchlevel-10-15	1
fosscuda	2018b	-AmberTools-18-patchlevel-10-8	1
fosscuda	2018b	-PLUMED-2.5.0	1
fosscuda	2018b	-Python-2.7.15	26
fosscuda	2018b	-Python-3.6.6	28
fosscuda	2019a		32
fosscuda	2019a	-Python-2.7.15	5
fosscuda	2019a	-Python-3.7.2	12
fosscuda	2019a	-Python-3.7.2-PyTorch-1.2.0	1
fosscuda	2019a	-Python-3.7.2-R-3.6.0	1
fosscuda	2019b		115
fosscuda	2019b	-AmberTools-19-patchlevel-12-17-Python-2.7.16	1
fosscuda	2019b	-Java-11	1
fosscuda	2019b	-PLUMED-2.5.4	1
fosscuda	2019b	-Python-2.7.16	2
fosscuda	2019b	-Python-3.7.4	71
fosscuda	2019b	-Python-3.7.4-imkl	1
fosscuda	2019b	-Python-3.7.4-nompi	1
fosscuda	2019b	-Python-3.7.4-PyTorch-1.4.0	2
fosscuda	2019b	-Python-3.7.4-PyTorch-1.6.0	2
fosscuda	2019b	-Python-3.7.4-PyTorch-1.6.0-imkl	1
fosscuda	2019b	-Python-3.7.4-PyTorch-1.7.1	1
fosscuda	2019b	-Python-3.7.4-PyTorch-1.8.1	3
fosscuda	2019b	-Python-3.7.4-R-3.6.2	1
fosscuda	2019b	-PyTorch-1.4.0-Python-3.7.4	1
fosscuda	2019b	-PyTorch-1.7.1-Python-3.7.4	1
fosscuda	2019b	-R-3.6.2-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-1.15.0-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-1.15.2-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.0.0-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.1.0-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.2.0-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.3.1-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.4.1-Python-3.7.4	1
fosscuda	2019b	-TensorFlow-2.5.0-Python-3.7.4	1
fosscuda	2020a		24
fosscuda	2020a	-AmberTools-20.15-Python-3.8.2	1
fosscuda	2020a	-Python-2.7.18	2
fosscuda	2020a	-Python-3.8.2	15
fosscuda	2020a	-TensorFlow-2.3.1-Python-3.8.2	1
fosscuda	2020b		137
fosscuda	2020b	-AmberTools-21.3	1
fosscuda	2020b	-ASE-3.22.0	3
fosscuda	2020b	-contrib	1
fosscuda	2020b	-imkl	1
fosscuda	2020b	-nodejs-12.19.0	1
fosscuda	2020b	-PyMC	1
fosscuda	2020b	-PyTorch-1.3.1	1
fosscuda	2020b	-PyTorch-1.7.1	7
fosscuda	2020b	-PyTorch-1.8.1	3
fosscuda	2020b	-PyTorch-1.9.0	5
fosscuda	2020b	-R-4.0.3	1
fosscuda	2020b	-R-4.0.4	2
fosscuda	2020b	-R-4.0.5	1
fosscuda	2020b	-TensorFlow-2.4.1	1
fosscuda	2020b	-TensorFlow-2.5.0	4
Fujitsu	21.05		2
GCC	4.8.1		15
GCC	4.8.1	-no-OFED	1
GCC	4.8.1	-serial	2
GCC	4.8.2		66
GCC	4.8.2	-bare	1
GCC	4.8.2	-client	1
GCC	4.8.2	-mt	1
GCC	4.8.2	-no-OFED	1
GCC	4.8.3		16
GCC	4.8.3	-bare	1
GCC	4.8.3	-LAPACK-3.5.0	1
GCC	4.8.4		27
GCC	4.8.4	-bare	1
GCC	4.8.4	-LAPACK-3.5.0	1
GCC	4.8.4	-no-X11	1
GCC	4.9.2		82
GCC	4.9.2	-bare	4
GCC	4.9.2	-LAPACK-3.5.0	2
GCC	4.9.2	-no-X11	1
GCC	4.9.2	-serial	1
GCC	4.9.2-binutils-2.25		5
GCC	4.9.3		15
GCC	4.9.3	-mt	1
GCC	4.9.3-binutils-2.25		6
GCC	4.9.3-2.25		42
GCC	4.9.3-2.25	-bare	2
GCC	4.9.3-2.25	-LAPACK-3.6.0	1
GCC	4.9.3-2.25	-no-X11	1
GCC	4.9.4-2.25		2
GCC	4.9.4-2.25	-LAPACK-3.6.0	1
GCC	5.1.0-binutils-2.25		5
GCC	5.2.0		10
GCC	5.3.0-2.26		4
GCC	5.3.0-2.26	-LAPACK-3.6.0	1
GCC	5.4.0-2.26		42
GCC	5.4.0-2.26	-bare	2
GCC	5.4.0-2.26	-LAPACK-3.6.0	1
GCC	5.4.0-2.26	-LAPACK-3.6.1	2
GCC	5.4.0-2.26	-LAPACK-3.7.0	1
GCC	5.4.0-2.26	-serial	1
GCC	6.1.0-2.27		4
GCC	6.2.0-2.27		3
GCC	6.3.0-2.27		5
GCC	6.3.0-2.27	-LAPACK-3.7.0	1
GCC	6.3.0-2.27	-opa	1
GCC	6.3.0-2.28		2
GCC	6.4.0-2.28		38
GCC	6.4.0-2.28	-Perl-5.26.0	1
GCC	6.4.0-2.28	-Perl-5.26.0-HMMER	1
GCC	6.4.0-2.28	-serial	1
GCC	7.2.0-2.29		4
GCC	7.3.0-2.30		33
GCC	7.3.0-2.30	-amd	2
GCC	8.2.0-2.31.1		86
GCC	8.2.0-2.31.1	-CUDA-10.1.105	1
GCC	8.2.0-2.31.1	-hpcx	1
GCC	8.2.0-2.31.1	-Perl-5.28.1	2
GCC	8.2.0-2.31.1	-Perl-5.28.1-Python-3.7.2	1
GCC	8.2.0-2.31.1	-Python-2.7.15	1
GCC	8.2.0-2.31.1	-Python-3.7.2	5
GCC	8.2.0-2.31.1	-with-extensions	1
GCC	8.3.0		108
GCC	8.3.0	-CUDA-10.1.243	2
GCC	8.3.0	-Java-11	2
GCC	8.3.0	-mt-kmer_191	1
GCC	8.3.0	-Python-2.7.16	5
GCC	8.3.0	-Python-3.7.4	11
GCC	8.3.0	-serial	1
GCC	8.3.0	-with-extensions	1
GCC	8.3.0-2.32		4
GCC	9.2.0		1
GCC	9.2.0-2.32		1
GCC	9.3.0		99
GCC	9.3.0	-Java-13-Python-3.8.2	1
GCC	9.3.0	-Python-3.8.2	8
GCC	9.3.0	-serial	1
GCC	9.3.0	-with-extensions	2
GCC	10.2.0		156
GCC	10.2.0	-Java-13	1
GCC	10.2.0	-lmax-6-cp2k	1
GCC	10.2.0	-pthreads-avx2	1
GCC	10.2.0	-Python-2.7.18	8
GCC	10.2.0	-serial	1
GCC	10.2.0	-with-extensions	1
GCC	10.3.0		160
GCC	10.3.0	-CUDA-11.3.1	2
GCC	10.3.0	-lmax-6-cp2k	1
GCC	10.3.0	-serial	1
GCC	10.3.0	-with-extensions	1
GCC	11.2.0		199
GCC	11.2.0	-amd	1
GCC	11.2.0	-CUDA-11.4.1	1
GCC	11.2.0	-Java-15	2
GCC	11.2.0	-Julia-1.7.2	1
GCC	11.2.0	-lmax-5-vec-avx-psi4	1
GCC	11.2.0	-mt-kmer_191	1
GCC	11.2.0	-omp	1
GCC	11.2.0	-Python-2.7.18	5
